,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
114,Lucas Digne,fr FRA,DF,Everton,27-170,1993,7.8,16,7,12,4,0,5,15,33.3,10,112,27,24.1,52,40,20,18,2,0,16,0,16,27,0,Matches
115,Virgil van Dijk,nl NED,DF,Liverpool,29-182,1991,4.1,4,1,2,2,0,0,0,,0,14,3,21.4,7,7,0,3,2,0,1,0,4,13,1,Matches
116,Issa Diop,fr FRA,DF,West Ham,23-363,1997,3.3,2,2,1,1,0,0,0,,0,17,6,35.3,7,7,3,5,4,0,1,2,4,13,1,Matches
117,Moussa Djenepo,ml MLI,MF,Southampton,22-205,1998,7.7,24,13,11,6,7,8,30,26.7,22,182,52,28.6,44,78,60,17,0,0,17,1,25,3,0,Matches
118,Matt Doherty,ie IRL,DF,Tottenham,28-356,1992,7.8,15,5,5,5,5,8,19,42.1,11,101,21,20.8,42,39,20,23,4,0,19,5,20,26,0,Matches
119,Gabriel Dos Santos,br BRA,DF,Arsenal,23-018,1997,11.7,15,10,11,4,0,5,10,50,5,76,29,38.2,45,26,5,24,16,0,8,8,23,51,2,Matches
120,Abdoulaye Doucouré,fr FRA,MF,Everton,28-005,1993,15.1,29,23,19,6,4,7,23,30.4,16,287,80,27.9,118,121,48,27,6,0,21,17,46,12,1,Matches
121,Paul Dummett,wal WAL,DF,Newcastle Utd,29-102,1991,0.9,1,0,0,1,0,0,1,0,1,5,0,0,0,3,2,2,0,0,2,2,3,0,0,Matches
122,Lewis Dunk,eng ENG,DF,Brighton,29-046,1991,14,18,10,11,6,1,8,13,61.5,5,78,30,38.5,44,30,4,18,12,0,6,7,25,47,0,Matches
123,Jimmy Dunne,ie IRL,DF,Burnley,23-079,1997,2,1,1,1,0,0,1,1,100,0,13,7,53.8,8,4,1,4,3,0,1,0,1,7,0,Matches
124,Ederson,br BRA,GK,Manchester City,27-142,1993,14,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,Matches
125,Kyle Edwards,eng ENG,"MF,FW",West Brom,22-324,1998,1.3,3,0,1,1,1,0,1,0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
126,John Egan,ie IRL,DF,Sheffield Utd,28-078,1992,15.1,22,16,17,4,1,5,16,31.3,11,117,37,31.6,72,41,4,33,17,1,16,15,37,72,1,Matches
127,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-119,1987,1.5,1,1,0,1,0,1,3,33.3,2,11,3,27.3,4,7,0,2,0,0,2,4,5,4,0,Matches
128,Mohamed Elneny,eg EGY,MF,Arsenal,28-179,1992,9.7,6,3,4,2,0,3,8,37.5,5,109,33,30.3,42,50,17,12,4,0,8,12,18,9,1,Matches
129,Jonny Evans,nir NIR,DF,Leicester City,33-003,1988,12.9,11,5,8,2,1,4,11,36.4,7,82,34,41.5,50,31,1,9,4,0,5,14,25,49,0,Matches
130,Eberechi Eze,eng ENG,MF,Crystal Palace,22-191,1998,10.7,12,7,5,4,3,3,13,23.1,10,96,33,34.4,27,44,25,16,1,0,15,6,18,1,0,Matches
131,?ukasz Fabia?ski,pl POL,GK,West Ham,35-263,1985,16,0,0,0,0,0,0,0,,0,4,1,25,4,0,0,2,0,0,2,0,0,0,0,Matches
132,Fabinho,br BRA,"DF,MF",Liverpool,27-075,1993,14.4,37,27,13,22,2,15,31,48.4,16,131,52,39.7,51,72,8,21,7,0,14,20,57,55,0,Matches
