,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
297,Jacob Murphy,eng ENG,"DF,FW",Newcastle Utd,25-317,1995,7.2,12,1.66,8,1,1,0,1,1,1,0.14,1,0,0,0,0,0,0,Matches
298,Shkodran Mustafi,de GER,DF,Arsenal,28-264,1992,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Marvelous Nakamba,zw ZIM,MF,Aston Villa,26-353,1994,1.2,2,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24-021,1996,7.1,3,0.42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
301,Tanguy Ndombele,fr FRA,MF,Tottenham,24-009,1996,8.9,22,2.47,16,0,3,1,1,1,6,0.67,5,0,0,1,0,0,0,Matches
302,Reiss Nelson,eng ENG,FW,Arsenal,21-027,1999,0.8,1,1.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Pedro Neto,pt POR,"FW,MF",Wolves,20-303,2000,15,60,3.99,31,11,8,4,6,0,5,0.33,1,2,0,2,0,0,0,Matches
304,Rúben Neves,pt POR,MF,Wolves,23-299,1997,12.8,28,2.19,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Eddie Nketiah,eng ENG,FW,Arsenal,21-221,1999,3.5,4,1.14,3,0,0,0,0,1,1,0.28,1,0,0,0,0,0,0,Matches
306,Niels Nkounkou,fr FRA,DF,Everton,20-066,2000,0.8,1,1.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Dan Nlundulu,eng ENG,FW,Southampton,21-336,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Mark Noble,eng ENG,MF,West Ham,33-243,1987,2.5,2,0.79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
309,Oliver Norwood,nir NIR,MF,Sheffield Utd,29-269,1991,6.3,16,2.54,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
310,Jack O'Connell,eng ENG,DF,Sheffield Utd,26-283,1994,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Dara O'Shea,ie IRL,DF,West Brom,21-308,1999,11.1,8,0.72,7,1,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
312,Michael Obafemi,ie IRL,FW,Southampton,20-184,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Denis Odoi,be BEL,DF,Fulham,32-224,1988,3,5,1.67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
314,Angelo Ogbonna,it ITA,DF,West Ham,32-228,1988,16.7,5,0.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Robin Olsen,se SWE,GK,Everton,30-364,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Josh Onomah,eng ENG,MF,Fulham,23-254,1997,1.5,1,0.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Divock Origi,be BEL,FW,Liverpool,25-263,1995,0.1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,26-154,1994,7.5,11,1.46,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
319,Owen Otasowie,us USA,MF,Wolves,19-261,2001,1.3,6,4.66,4,0,0,0,2,0,1,0.78,1,0,0,0,0,0,0,Matches
320,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27-144,1993,0.9,3,3.38,3,0,0,0,0,0,1,1.13,1,0,0,0,0,0,0,Matches
321,Emerson Palmieri,it ITA,DF,Chelsea,26-156,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
322,Thomas Partey,gh GHA,MF,Arsenal,27-207,1993,3.1,3,0.97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Rui Patrício,pt POR,GK,Wolves,32-326,1988,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-069,1996,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Lee Peltier,eng ENG,DF,West Brom,34-026,1986,1,1,0.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,25-222,1995,5.1,3,0.59,1,2,0,0,0,0,1,0.2,1,0,0,0,0,0,0,Matches
327,Matheus Pereira,br BRA,"MF,FW",West Brom,24-246,1996,10.2,41,4,26,10,1,1,2,1,6,0.59,3,1,0,0,1,1,0,Matches
